,timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,ratings_in_person_class,in_person_effectiveness_lecture,in_person_effectiveness_tutorial,in_person_effectiveness_project,in_person_effectiveness_lab,in_person_effectiveness_presentation,in_person_effectiveness_exam,in_person_academic_impacts,in_person_mental_impacts,ratings_online_class,online_learning_tools_preferred,online_effectiveness_lecture,online_effectiveness_tutorial,online_effectiveness_project,online_effectiveness_lab,online_effectiveness_presentation,online_effectiveness_exam,online_academic_impacts,online_mental_impacts,preferred_learning_mode,additional_thoughts,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool,Direct interaction with lecturers,Easier to ask questions and get immediate feedback,Better engagement and focus,Opportunities for face-to-face collaboration with peers,"Access to university facilities (labs, library, etc.)",Clearer separation between study and personal life,Better for practical/lab-based subjects,Stronger sense of community with classmates,Fewer technical issues,Commuting time and costs,Fixed class schedules (less flexibility),Less comfortable learning environment (compared to home),Pace of learning may not suit everyone,Large class sizes can be intimidating,Health concerns (especially post-pandemic),Limited access to recorded lectures,Flexibility in schedule,Learn at your own pace,Comfort of learning from home/anywhere,Reduced commuting time and costs,Access to recorded lectures and materials,Development of digital literacy skills,"Easier to manage studies alongside other commitments (e.g., part-time work)",More accessible for students with disabilities or health issues,Variety of online learning tools and resources,"Technical issues (internet, software, hardware)",Lack of face-to-face interaction with lecturers and peers,Difficulty maintaining focus and motivation,Sense of isolation,Challenges with practical/lab-based subjects,Blurred lines between study and personal life,Concerns about assessment integrity,Digital fatigue/eye strain,Requires strong self-discipline,Prefer_in_person_Lecture,Prefer_in_person_Tutorials,Prefer_in_person_Project,Prefer_in_person_Lab,Prefer_in_person_Presentations,Prefer_in_person_Exam,Not_prefer_in_person,Prefer_online_Lecture,Prefer_online_Tutorials,Prefer_online_Project,Prefer_online_Lab,Prefer_online_Presentations,Prefer_online_Exam,Not_prefer_online
15,2025-05-26 22:06:43.589,25 - 29,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",4,3,3,3,2,2,2,3,3,3,Microsoft Teams,2,2,3,4,4,4,2,2,Hybrid / Blended - a mix of online and in-person,,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,False,False,True,False,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False
16,2025-05-26 22:37:19.351,25 - 29,Female,Postgraduate (Masters/PhD),Education,Off-campus,30 min to 1 hr,Full-time student,Yes,Less than 10 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",3,2,4,4,3,3,2,3,3,3,Microsoft Teams,2,3,3,3,4,3,3,3,Hybrid / Blended - a mix of online and in-person,,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,False,True,True,False
17,2025-05-26 22:54:47.975,20 - 24,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",5,4,4,3,4,2,3,3,3,5,Microsoft Teams,4,4,4,4,4,4,4,3,Fully Online,,False,False,False,True,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False
18,2025-05-26 23:22:34.266,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",3,2,3,2,2,3,2,2,1,4,Microsoft Teams,3,3,3,2,4,4,3,3,Hybrid / Blended - a mix of online and in-person,-,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False
19,2025-05-27 10:11:01.287,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",4,4,4,4,4,2,2,3,3,4,Microsoft Teams,3,3,4,4,4,4,3,3,Hybrid / Blended - a mix of online and in-person,"Both have their advantages, suggest to do it in hybrid/ mix mode instead",True,False,False,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False
20,2025-05-27 18:16:44.701,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,Under 15 min,Full-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",4,3,3,2,3,2,2,4,4,4,Microsoft Teams,1,1,2,1,3,2,2,2,Hybrid / Blended - a mix of online and in-person,,True,False,False,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False
21,2025-05-27 18:27:33.951,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",4,3,3,3,2,1,3,3,3,4,Microsoft Teams,3,3,3,2,4,3,3,3,Hybrid / Blended - a mix of online and in-person,,True,False,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,True,True,False
22,2025-05-27 18:41:26.041,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",3,2,3,2,3,2,4,3,3,3,Microsoft Teams,3,2,3,3,3,4,3,2,Hybrid / Blended - a mix of online and in-person,"As a Malaysian, I find that Asian students are more passive when communicating in a group project if you paired with random groupmates. ",True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False
23,2025-05-27 20:24:03.146,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,Yes,More than 30 hours per week,Fully Online,4,"Yes, sometimes",4,4,4,4,4,3,2,3,3,4,Microsoft Teams,4,4,4,4,4,4,4,4,Fully Online,Online classes have more accessibility; in-person classes are more interactive,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
24,2025-05-28 08:41:14.818,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",4,4,4,4,2,2,2,4,3,3,Microsoft Teams,2,2,4,2,4,3,2,2,Hybrid / Blended - a mix of online and in-person,,False,False,False,True,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False
