timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool
48:03.0,15 - 19,Male,Foundation,Foundation,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
49:02.7,20 - 24,Male,1st Year,Pure & Applied Sciences,Off-campus,15 min to 30 min,Full-time student,Yes,Less than 10 hours per week,Fully In-Person,2,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50:34.7,15 - 19,Female,Foundation,Foundation,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,4,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50:45.4,15 - 19,Male,Foundation,Foundation,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,4,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
50:52.2,20 - 24,Male,3rd Year,Computer Science & IT,Off-campus,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
51:58.2,20 - 24,Female,Postgraduate (Masters/PhD),Business & Accountancy,Off-campus,15 min to 30 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
52:19.4,20 - 24,Female,1st Year,Statistics ,Hostel,Under 15 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
52:25.6,15 - 19,Male,Foundation,Arts & Social Sciences,Hostel,15 min to 30 min,Full-time student,No,,Fully In-Person,4,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
53:39.4,30 - 34,Female,Postgraduate (Masters/PhD),Arts & Social Sciences,Off-campus,15 min to 30 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
53:51.0,15 - 19,Male,Foundation,Foundation,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
54:26.9,15 - 19,Female,1st Year,Health & Medical Sciences,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
54:50.4,15 - 19,Female,1st Year,Education,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, consistently",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55:38.3,15 - 19,Female,Foundation,Physical Science,Hostel,Under 15 min,Full-time student,No,,Fully In-Person,3,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
